Code,Country,EPI,Year
AGO,Angola,39.49466149,2017
ALB,Albania,83.95098508,2017
ARE,United Arab Emirates            ,63.98581182,2017
ARG,Argentina,81.7837441,2017
ARM,Armenia,77.75461676,2017
AUS,Australia,79.82742738,2017
AUT,Austria,89.43150348,2017
AZE,Azerbaijan,72.17275993,2017
BDI,Burundi,54.66426188,2017
BEL,Belgium,78.4148247,2017
BEN,Benin,56.08356944,2017
BFA,Burkina Faso,44.33618463,2017
BGD,Bangladesh,57.99816838,2017
BGR,Bulgaria,78.47255477,2017
BIH,Bosnia and Herzegovina          ,79.73417211,2017
BLR,Belarus,80.47494917,2017
BLZ,Belize,71.7368933,2017
BOL,Bolivia,64.6897546,2017
BRA,Brazil,82.65110277,2017
BWA,Botswana,68.66250155,2017
CAF,Central African Republic        ,56.04952541,2017
CAN,Canada,86.63962884,2017
CHE,Switzerland,95.51099503,2017
CHL,Chile,83.44371097,2017
CHN,China,65.08228805,2017
CIV,C“te d'Ivoire,65.19912497,2017
CMR,Cameroon,63.79506415,2017
COD,Dem. Rep. Congo,47.32791962,2017
COG,Congo,69.69651363,2017
COL,Colombia,88.30492526,2017
CRI,Costa Rica,90.4536205,2017
CUB,Cuba,80.73557182,2017
CYP,Cyprus,79.18947976,2017
CZE,Czech Rep.,76.79569238,2017
DEU,Germany,86.30934932,2017
DJI,Djibouti,50.52642015,2017
DNK,Denmark,83.99199551,2017
DOM,Dominican Rep.,83.00825325,2017
DZA,Algeria,76.97472133,2017
ECU,Ecuador,84.35691363,2017
EGY,Egypt,76.28094466,2017
ERI,Eritrea,59.44790254,2017
ESP,Spain,83.13911033,2017
EST,Estonia,85.15596806,2017
ETH,Ethiopia,58.84445768,2017
FIN,Finland,91.43787346,2017
FJI,Fiji,69.70393256,2017
FRA,France,87.75324021,2017
GAB,Gabon,77.26369364,2017
GBR,United Kingdom,86.30563228,2017
GEO,Georgia,82.17632005,2017
GHA,Ghana,70.78198062,2017
GIN,Guinea,51.31535249,2017
GNB,Guinea-Bissau,49.72110979,2017
GRC,Greece,80.16497055,2017
GTM,Guatemala,76.65140576,2017
GUY,Guyana,64.83187801,2017
HND,Honduras,75.39223522,2017
HRV,Croatia,84.64705396,2017
HTI,Haiti,60.69183525,2017
HUN,Hungary,84.23696465,2017
IDN,Indonesia,66.19249392,2017
IND,India,60.27521405,2017
IRL,Ireland,82.73898597,2017
IRN,Iran,76.8612378,2017
IRQ,Iraq,53.93056307,2017
ISL,Iceland,87.5696944,2017
ISR,Israel,79.58532231,2017
ITA,Italy,84.22345141,2017
JAM,Jamaica,79.07898994,2017
JOR,Jordan,76.54817189,2017
JPN,Japan,84.53835467,2017
KAZ,Kazakhstan,64.95010578,2017
KEN,Kenya,69.01417208,2017
KGZ,Kyrgyzstan,69.63243579,2017
KHM,Cambodia,53.7713018,2017
KOR,South Korea,79.35873581,2017
KWT,Kuwait,64.53785443,2017
LAO,Laos,66.30990787,2017
LBN,Lebanon,70.29090233,2017
LKA,Sri Lanka,79.52589033,2017
LTU,Lithuania,86.21620437,2017
LUX,Luxembourg,83.06638023,2017
LVA,Latvia,88.81118005,2017
MAR,Morocco,72.08609303,2017
MDA,Moldova,70.74300745,2017
MDG,Madagascar,54.57626358,2017
MEX,Mexico,79.80158549,2017
MKD,Macedonia,75.09085668,2017
MLI,Mali,44.30479913,2017
MMR,Myanmar,65.12378935,2017
MNG,Mongolia,68.11331411,2017
MOZ,Mozambique,53.93826395,2017
MRT,Mauritania,44.1933101,2017
MUS,Mauritius,78.08344132,2017
MWI,Malawi,59.91087822,2017
MYS,Malaysia,83.97839775,2017
NAM,Namibia,70.62382832,2017
NER,Niger,39.05439744,2017
NGA,Nigeria,56.15634183,2017
NIC,Nicaragua,73.41902947,2017
NLD,Netherlands,78.73072003,2017
NOR,Norway,93.11847548,2017
NPL,Nepal,72.09813247,2017
NZL,New Zealand,88.89716907,2017
OMN,Oman,70.2697351,2017
PAK,Pakistan,58.66798221,2017
PAN,Panama,83.06463177,2017
PER,Peru,78.0790064,2017
PHL,Philippines,77.93657809,2017
PNG,Papua New Guinea,64.78502067,2017
POL,Poland,80.49405706,2017
PRT,Portugal,85.75155115,2017
PRY,Paraguay,77.66865231,2017
ROU,Romania,71.92718642,2017
RUS,Russia,83.85054378,2017
RWA,Rwanda,54.87623101,2017
SAU,Saudi Arabia,72.82504006,2017
SDN,Sudan,55.5424103,2017
SEN,Senegal,62.83062992,2017
SLB,Solomon Islands,52.26595827,2017
SLE,Sierra Leone,40.04361384,2017
SLV,El Salvador,77.19748422,2017
SVK,Slovakia,86.0302692,2017
SVN,Slovenia,86.30063873,2017
SWE,Sweden,93.12241576,2017
SWZ,Swaziland,61.34031617,2017
SYR,Syria,68.17860176,2017
TCD,Chad,45.88986824,2017
TGO,Togo,62.29790917,2017
THA,Thailand,79.1511149,2017
TJK,Tajikistan,72.34115194,2017
TKM,Turkmenistan,71.27550294,2017
TTO,Trinidad & Tobago,70.35532598,2017
TUN,Tunisia,78.08287588,2017
TUR,Turkey,75.89513268,2017
TWN,Taiwan,80.8329195,2017
TZA,Tanzania,63.87021226,2017
UGA,Uganda,61.58832288,2017
UKR,Ukraine,74.1027154,2017
URY,Uruguay,82.29158251,2017
USA,United States,81.02511837,2017
UZB,Uzbekistan,64.95216407,2017
VEN,Venezuela,80.04586138,2017
VNM,Viet Nam,73.91189313,2017
YEM,Yemen,49.69393619,2017
ZAF,South Africa,68.97717751,2017
ZMB,Zambia,55.12675147,2017
ZWE,Zimbabwe,69.27831169,2017
