Code,Country,EPI,Year
ABW,Aruba,..,2009
AFG,Afghanistan,..,2009
AGO,Angola,36.34837918,2009
AIA,Anguilla,..,2009
ALB,Albania,71.42448495,2009
AND,Andorra,..,2009
ANT,Netherlands Antilles,..,2009
ARE,United Arab Emirates,40.67042045,2009
ARG,Argentina,61.04676944,2009
ARM,Armenia,60.4436409,2009
ASM,American Samoa,..,2009
ATG,Antigua and Barbuda,69.7924567,2009
AUS,Australia,65.65561659,2009
AUT,Austria,78.13439012,2009
AZE,Azerbaijan,59.07585155,2009
BDI,Burundi,43.9054465,2009
BEL,Belgium,58.07016301,2009
BEN,Benin,39.59134566,2009
BFA,Burkina Faso,47.28716759,2009
BGD,Bangladesh,43.9524516,2009
BGR,Bulgaria,62.53229547,2009
BHR,Bahrain,41.96133901,2009
BHS,Bahamas,..,2009
BIH,Bosnia and Herzegovina,55.8689708,2009
BLR,Belarus,65.36918665,2009
BLZ,Belize,69.92810618,2009
BMU,Bermuda,..,2009
BOL,Bolivia,44.33745347,2009
BRA,Brazil,63.40547141,2009
BRB,Barbados,..,2009
BRN,Brunei Darussalam,60.75092816,2009
BTN,Bhutan,68.0188083,2009
BWA,Botswana,41.31132124,2009
CAF,Central African Republic,33.34203121,2009
CAN,Canada,66.43678489,2009
CHE,Switzerland,89.09282753,2009
CHL,Chile,73.34275541,2009
CHN,China,49.00473138,2009
CIV,C?te d'Ivoire,54.25007472,2009
CMR,Cameroon,44.622985,2009
COD,Dem. Rep. Congo,51.63500123,2009
COG,Congo,53.96770251,2009
COK,Cook Islands,..,2009
COL,Colombia,76.77389483,2009
COM,Comoros,..,2009
CPV,Cape Verde,..,2009
CRI,Costa Rica,86.39663279,2009
CUB,Cuba,78.13140055,2009
CYM,Cayman Islands,..,2009
CYP,Cyprus,56.26362399,2009
CZE,Czech Republic,71.62066293,2009
DEU,Germany,73.22189021,2009
DJI,Djibouti,60.54371172,2009
DMA,Dominica,..,2009
DNK,Denmark,69.1538307,2009
DOM,Dominican Republic,68.44131712,2009
DZA,Algeria,67.41236474,2009
ECU,Ecuador,69.34254188,2009
EGY,Egypt,62.00398418,2009
ERI,Eritrea,54.63015918,2009
ESH,Western Sahara,..,2009
ESP,Spain,70.61649642,2009
EST,Estonia,63.80333149,2009
ETH,Ethiopia,43.14114333,2009
FIN,Finland,74.74065076,2009
FJI,Fiji,65.9107573,2009
FLK,Falkland Islands,..,2009
FRA,France,78.21842802,2009
FRO,Faeroe Islands,..,2009
FSM,Micronesia,..,2009
GAB,Gabon,56.443611,2009
GBR,United Kingdom,74.23773053,2009
GEO,Georgia,63.64427445,2009
GHA,Ghana,51.33391314,2009
GIB,Gibraltar,..,2009
GIN,Guinea,44.36917577,2009
GLP,Guadeloupe,..,2009
GMB,Gambia,50.32321476,2009
GNB,Guinea-Bissau,44.66846239,2009
GNQ,Equatorial Guinea,41.90248931,2009
GRC,Greece,60.86615528,2009
GRD,Grenada,..,2009
GRL,Greenland,..,2009
GTM,Guatemala,53.97228309,2009
GUF,French Guiana,..,2009
GUM,Guam,..,2009
GUY,Guyana,59.24609276,2009
HKG,Hong Kong,..,2009
HND,Honduras,49.87176046,2009
HRV,Croatia,68.65090997,2009
HTI,Haiti,39.49521011,2009
HUN,Hungary,69.1139546,2009
IDN,Indonesia,44.61431971,2009
IMN,Isle of Man,..,2009
IND,India,48.3461902,2009
IRL,Ireland,67.10605025,2009
IRN,Iran,59.96438876,2009
IRQ,Iraq,40.99762633,2009
ISL,Iceland,93.48024724,2009
ISR,Israel,62.42746452,2009
ITA,Italy,73.0539583,2009
JAM,Jamaica,58.03790937,2009
JOR,Jordan,56.1125112,2009
JPN,Japan,72.54079024,2009
KAZ,Kazakhstan,57.30283538,2009
KEN,Kenya,51.38756631,2009
KGZ,Kyrgyzstan,59.67629521,2009
KHM,Cambodia,41.68935536,2009
KIR,Kiribati,..,2009
KNA,Saint Kitts and Nevis,..,2009
KOR,South Korea,57.04486822,2009
KWT,Kuwait,51.12549412,2009
LAO,Laos,59.60334019,2009
LBN,Lebanon,57.91216252,2009
LBR,Liberia,..,2009
LBY,Libyan Arab Jamahiriya,50.14262281,2009
LCA,Saint Lucia,..,2009
LIE,Liechtenstein,..,2009
LKA,Sri Lanka,63.71435707,2009
LSO,Lesotho,..,2009
LTU,Lithuania,68.3283924,2009
LUX,Luxembourg,67.83245841,2009
LVA,Latvia,72.51366823,2009
MAC,Macao,..,2009
MAR,Morocco,65.61264634,2009
MCO,Monaco,..,2009
MDA,Moldova,58.82625409,2009
MDG,Madagascar,49.16740348,2009
MDV,Maldives,65.93851795,2009
MEX,Mexico,67.34156669,2009
MHL,Marshall Islands,..,2009
MKD,Macedonia,60.62617293,2009
MLI,Mali,39.42563027,2009
MLT,Malta,76.33417785,2009
MMR,Myanmar,51.2991815,2009
MNG,Mongolia,42.7950781,2009
MNP,Northern Mariana Islands,..,2009
MOZ,Mozambique,51.22467288,2009
MRT,Mauritania,33.66525073,2009
MSR,Montserrat,..,2009
MTQ,Martinique,..,2009
MUS,Mauritius,80.58444476,2009
MWI,Malawi,51.4493398,2009
MYS,Malaysia,64.98594599,2009
MYT,Mayotte,..,2009
NAM,Namibia,59.27656429,2009
NCL,New Caledonia,..,2009
NER,Niger,37.5686998,2009
NFK,Norfolk Island,..,2009
NGA,Nigeria,40.19084842,2009
NIC,Nicaragua,57.0533949,2009
NIU,Niue,..,2009
NLD,Netherlands,66.35542036,2009
NOR,Norway,81.1321266,2009
NPL,Nepal,68.23602764,2009
NRU,Nauru,..,2009
NZL,New Zealand,73.35983671,2009
OMN,Oman,45.87266266,2009
PAK,Pakistan,47.96450237,2009
PAN,Panama,71.36649969,2009
PCN,Pitcairn,..,2009
PER,Peru,69.27689448,2009
PHL,Philippines,65.68464744,2009
PLW,Palau,..,2009
PNG,Papua New Guinea,44.29622045,2009
POL,Poland,63.10986488,2009
PRI,Puerto Rico,..,2009
PRK,North Korea,41.81374342,2009
PRT,Portugal,72.9844967,2009
PRY,Paraguay,63.51158177,2009
PSE,Occupied Palestinian Territory,..,2009
PYF,French Polynesia,..,2009
QAT,Qatar,48.88644029,2009
REU,R?union,..,2009
ROU,Romania,67.00872448,2009
RUS,Russia,61.21289347,2009
RWA,Rwanda,44.60849419,2009
SAU,Saudi Arabia,55.32032411,2009
SCG,Serbia and Montenegro,69.37140881,2009
SDN,Sudan,47.09436788,2009
SEN,Senegal,42.27565144,2009
SGP,Singapore,69.6363499,2009
SHN,Saint Helena,..,2009
SJM,Svalbard and Jan Mayen Islands,..,2009
SLB,Solomon Islands,51.10238658,2009
SLE,Sierra Leone,32.11719164,2009
SLV,El Salvador,69.0737589,2009
SMR,San Marino,..,2009
SOM,Somalia,..,2009
SPM,Saint Pierre and Miquelon,..,2009
STP,Sao Tome and Principe,57.34162173,2009
SUR,Suriname,68.17771764,2009
SVK,Slovakia,74.45563309,2009
SVN,Slovenia,64.95094711,2009
SWE,Sweden,86.04813233,2009
SWZ,Swaziland,54.39303912,2009
SYC,Seychelles,..,2009
SYR,Syria,64.58092124,2009
TCA,Turks and Caicos Islands,..,2009
TCD,Chad,40.84718196,2009
TGO,Togo,36.43259016,2009
THA,Thailand,62.15487365,2009
TJK,Tajikistan,51.28720671,2009
TKL,Tokelau,..,2009
TKM,Turkmenistan,38.39476221,2009
TLS,Timor-Leste,..,2009
TON,Tonga,..,2009
TTO,Trinidad and Tobago,54.247096,2009
TUN,Tunisia,60.58068468,2009
TUR,Turkey,60.39754346,2009
TUV,Tuvalu,..,2009
TWN,Taiwan,..,2009
TZA,Tanzania,47.9033861,2009
UGA,Uganda,49.77065726,2009
UKR,Ukraine,58.21770625,2009
URY,Uruguay,59.10517433,2009
USA,United States of America,63.47516286,2009
UZB,Uzbekistan,42.26877787,2009
