Code,TIME,Renewable Supply %
URY,2010,50.65
URY,2011,43.07
URY,2012,40.39
URY,2013,47.48
URY,2014,55.79
URY,2015,58.61
URY,2016,58.9
URY,2017,62.17
UZB,2008,0.79
UZB,2009,1.28
UZB,2010,1.67
UZB,2011,1.06
UZB,2012,1.2
UZB,2013,1.15
UZB,2014,1.21
UZB,2015,1.59
UZB,2016,1.87
UZB,2017,2.15
VEN,2008,12.68
VEN,2009,12.65
VEN,2010,10.25
VEN,2011,11.92
VEN,2012,10.79
VEN,2013,11.65
VEN,2014,9.66
VEN,2015,12.02
VEN,2016,10.93
VEN,2017,12.43
VNM,2008,34.8
VNM,2009,32.53
VNM,2010,28.91
VNM,2011,31.08
VNM,2012,32.65
VNM,2013,31.82
VNM,2014,29.8
VNM,2015,26.64
VNM,2016,26.6
VNM,2017,28.55
YEM,2008,1.33
YEM,2009,1.24
YEM,2010,1.31
YEM,2011,1.59
YEM,2012,1.8
YEM,2013,1.34
YEM,2014,1.57
YEM,2015,3.43
YEM,2016,5.18
YEM,2017,5.69
ZMB,2008,92.8
ZMB,2009,93.45
ZMB,2010,93.31
ZMB,2011,91.92
ZMB,2012,90.77
ZMB,2013,90.85
ZMB,2014,90.31
ZMB,2015,89.09
ZMB,2016,87.59
ZMB,2017,84.27
ZWE,2008,75.83
ZWE,2009,74.52
ZWE,2010,74.25
ZWE,2011,70.78
ZWE,2012,70
ZWE,2013,69.55
ZWE,2014,70.25
ZWE,2015,70.26
ZWE,2016,72.05
ZWE,2017,73.46
WLD,2008,12.07
WLD,2009,12.4
WLD,2010,12.27
WLD,2011,12.34
WLD,2012,12.6
WLD,2013,12.85
WLD,2014,12.92
WLD,2015,13.12
WLD,2016,13.45
WLD,2017,13.55
SRB,2008,9.7
SRB,2009,12.98
SRB,2010,13.16
SRB,2011,11.03
SRB,2012,12.67
SRB,2013,12.94
SRB,2014,15.12
SRB,2015,13.09
SRB,2016,13.1
SRB,2017,12.07
MNE,2008,23.49
MNE,2009,35.11
MNE,2010,35.25
MNE,2011,24.72
MNE,2012,28.7
MNE,2013,39.1
MNE,2014,33
MNE,2015,30.56
MNE,2016,34.31
MNE,2017,27.24
G20,2008,9.81
G20,2009,10.07
G20,2010,10.01
G20,2011,10.04
G20,2012,10.23
G20,2013,10.49
G20,2014,10.63
G20,2015,10.8
G20,2016,11.15
G20,2017,11.28
EU28,2008,8.45
EU28,2009,9.5
EU28,2010,10.13
EU28,2011,10.36
EU28,2012,11.48
EU28,2013,12.28
EU28,2014,13
EU28,2015,13.32
EU28,2016,13.54
EU28,2017,13.73
OECD,2008,7.08
OECD,2009,7.55
OECD,2010,7.83
OECD,2011,8.2
OECD,2012,8.74
OECD,2013,9.19
OECD,2014,9.43
OECD,2015,9.64
OECD,2016,9.87
OECD,2017,10.17
