Code,TIME,Renewable Supply %
SWE,2012,36.9
SWE,2013,34.45
SWE,2014,35.89
SWE,2015,42.65
SWE,2016,37.14
SWE,2017,39.4
CHE,2008,17.22
CHE,2009,17.16
CHE,2010,18.2
CHE,2011,17.27
CHE,2012,19.79
CHE,2013,19.32
CHE,2014,20.14
CHE,2015,21.18
CHE,2016,21.08
CHE,2017,21.11
TUR,2008,9.46
TUR,2009,10.09
TUR,2010,11
TUR,2011,9.97
TUR,2012,10.32
TUR,2013,11.38
TUR,2014,10.13
TUR,2015,12.16
TUR,2016,12.53
TUR,2017,12.08
GBR,2008,2.8
GBR,2009,3.34
GBR,2010,3.61
GBR,2011,4.3
GBR,2012,4.53
GBR,2013,5.57
GBR,2014,6.86
GBR,2015,7.99
GBR,2016,8.53
GBR,2017,9.71
USA,2008,5.07
USA,2009,5.44
USA,2010,5.68
USA,2011,6.18
USA,2012,6.43
USA,2013,6.78
USA,2014,6.9
USA,2015,6.88
USA,2016,7.21
USA,2017,7.54
OEU,2008,9.31
OEU,2009,10.29
OEU,2010,10.85
OEU,2011,11.14
OEU,2012,12.31
OEU,2013,12.98
OEU,2014,13.59
OEU,2015,14.04
OEU,2016,14.26
OEU,2017,14.42
ALB,2008,26.16
ALB,2009,30.97
ALB,2010,40.6
ALB,2011,25.87
ALB,2012,31.31
ALB,2013,34.99
ALB,2014,27.29
ALB,2015,34.41
ALB,2016,42.19
ALB,2017,27.44
DZA,2008,0.19
DZA,2009,0.2
DZA,2010,0.17
DZA,2011,0.14
DZA,2012,0.15
DZA,2013,0.11
DZA,2014,0.05
DZA,2015,0.05
DZA,2016,0.06
DZA,2017,0.12
AGO,2008,57.82
AGO,2009,53.78
AGO,2010,53.07
AGO,2011,52.25
AGO,2012,47.02
AGO,2013,48.05
AGO,2014,37.08
AGO,2015,42.79
AGO,2016,45.43
AGO,2017,47.25
ARG,2008,6.28
ARG,2009,6.87
ARG,2010,7.18
ARG,2011,8.05
ARG,2012,8.08
ARG,2013,8.23
ARG,2014,8.46
ARG,2015,7.98
ARG,2016,7.69
ARG,2017,8.66
ARM,2008,5.43
ARM,2009,6.99
ARM,2010,9.21
ARM,2011,8.2
ARM,2012,7.02
ARM,2013,6.75
ARM,2014,6.95
ARM,2015,9.56
ARM,2016,10.93
ARM,2017,10.29
AZE,2008,2.08
AZE,2009,2.28
AZE,2010,3.34
AZE,2011,2.6
AZE,2012,1.86
AZE,2013,1.84
AZE,2014,1.63
AZE,2015,1.81
AZE,2016,1.69
AZE,2017,1.57
BHR,2008,0
BHR,2009,0
BHR,2010,0
BHR,2011,0
BHR,2012,0
BHR,2013,0
BHR,2014,0
BHR,2015,0
BHR,2016,0
BHR,2017,0
BGD,2008,32.42
BGD,2009,30.94
BGD,2010,29.53
BGD,2011,28.95
BGD,2012,27.84
BGD,2013,27.19
BGD,2014,26.56
BGD,2015,24.87
BGD,2016,24.11
BGD,2017,23.79
BLR,2008,5.01
BLR,2009,5.4
BLR,2010,5.5
BLR,2011,5.33
BLR,2012,5.2
BLR,2013,5.61
BLR,2014,5.2
BLR,2015,5.44
BLR,2016,5.51
BLR,2017,5.96
BEN,2008,59.19
BEN,2009,58.04
BEN,2010,56.71
BEN,2011,57.95
BEN,2012,59.67
BEN,2013,59.25
BEN,2014,58.74
BEN,2015,58.57
BEN,2016,54.18
BEN,2017,53.49
BOL,2008,17.7
BOL,2009,17.84
BOL,2010,17.15
BOL,2011,16.49
BOL,2012,15.2
BOL,2013,15.69
BOL,2014,15.02
BOL,2015,15.6
BOL,2016,14.65
BOL,2017,13.45
BIH,2008,10.05
BIH,2009,11.53
BIH,2010,13.43
BIH,2011,7.79
BIH,2012,8.11
BIH,2013,12.42
BIH,2014,15.96
BIH,2015,16.85
BIH,2016,15.58
BIH,2017,11.96
BWA,2008,22.69
